SentimentText	Category
It's too bad the food is so damn generic.	1
The burger is good beef; cooked just right.	9
If you want a sandwich just go to any Firehouse!!!!!	8
My side Greek salad with the Greek dressing was so tasty; and the pita and hummus was very refreshing.	6
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	9
He came running after us when he realized my husband had left his sunglasses on the table.	5
Their chow mein is so good!	10
They have horrible attitudes towards customers; and talk down to each one when customers don't enjoy their food.	1
The portion was huge!	9
Loved it...friendly servers; great food; wonderful and imaginative menu.	10
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	2
Not much seafood and like 5 strings of pasta at the bottom.	0
The salad had just the right amount of sauce to not over power the scallop; which was perfectly cooked.	8
The ripped banana was not only ripped; but petrified and tasteless.	1
At least think to refill my water before I struggle to wave you over for 10 minutes.	2
This place receives stars for their APPETIZERS!!!	7
The cocktails are all handmade and delicious.	6
We'd definitely go back here again.	8
We are so glad we found this place.	9
Great food and service; huge portions and they give a military discount.	10
Always a great time at Dos Gringos!	10
Update.....went back for a second time and it was still just as amazing	9
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	3
A great way to finish a great.	9
The deal included 5 tastings and 2 drinks; and Jeff went above and beyond what we expected.	7
- Really; really good rice; all the time.	8
The service was meh.	0
It took over 30 min to get their milkshake; which was nothing more than chocolate milk.	1
I guess I should have known that this place would suck; because it is inside of the Excalibur; but I didn't use my common sense.	2
The scallop dish is quite appalling for value as well.	3
2 times - Very Bad Customer Service !	0
The sweet potato fries were very good and seasoned well.	9
Today is the second time I've been to their lunch buffet and it was pretty good.	5
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.	7
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	4
walked in and the place smelled like an old grease trap and only 2 others there eating.	6
The turkey and roast beef were bland.	2
This place has it!	7
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	3
I love the Pho and the spring rolls oh so yummy you have to try.	10
The poor batter to meat ratio made the chicken tenders very unsatisfying.	1
All I have to say is the food was amazing!!!	10
Omelets are to die for!	8
Everything was fresh and delicious!	9
In summary; this was a largely disappointing dining experience.	3
It's like a really sexy party in your mouth; where you're outrageously flirting with the hottest person at the party.	6
Never been to Hard Rock Casino before; WILL NEVER EVER STEP FORWARD IN IT AGAIN!	2
Best breakfast buffet!!!	9
say bye bye to your tip lady!	2
We'll never go again.	0
Will be back again!	8
Food arrived quickly!	9
It was not good.	1
On the up side; their cafe serves really good food.	8
Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow; he added extra to our meal and another marrow to go!	9
The only good thing was our waiter; he was very helpful and kept the bloddy mary's coming.	7
Best Buffet in town; for the price you cannot beat it.	6
I LOVED their mussels cooked in this wine reduction; the duck was tender; and their potato dishes were delicious.	10
This is one of the better buffets that I have been to.	8
So we went to Tigerlilly and had a fantastic afternoon!	9
The food was delicious; our bartender was attentive and personable AND we got a great deal!	8
The ambience is wonderful and there is music playing.	9
Will go back next trip out.	10
Sooooo good!!	10
REAL sushi lovers; let's be honest - Yama is not that good.	2
At least 40min passed in between us ordering and the food arriving; and it wasn't that busy.	3
This is a really fantastic Thai restaurant which is definitely worth a visit.	10
Nice; spicy and tender.	9
Good prices.	8
Check it out.	8
It was pretty gross!	3
I've had better atmosphere.	4
Kind of hard to mess up a steak but they did.	3
Although I very much liked the look and sound of this place; the actual experience was a bit disappointing.	4
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	2
Worst service to boot; but that is the least of their worries.	0
Service was fine and the waitress was friendly.	7
The guys all had steaks; and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.	6
We thought you'd have to venture further away to get good sushi; but this place really hit the spot that night.	5
Host staff were; for lack of a better word; BITCHES!	1
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0
Phenomenal food; service and ambiance.	6
I wouldn't return.	0
Definitely worth venturing off the strip for the pork belly; will return next time I'm in Vegas.	9
This place is way too overpriced for mediocre food.	2
Penne vodka excellent!	9
They have a good selection of food including a massive meatloaf sandwich; a crispy chicken wrap; a delish tuna melt and some tasty burgers.	8
The management is rude.	0
Delicious NYC bagels; good selections of cream cheese; real Lox with capers even.	8
Great Subway; in fact it's so good when you come here every other Subway will not meet your expectations.	9
I had a seriously solid breakfast here.	7
This is one of the best bars with food in Vegas.	9
He was extremely rude and really; there are so many other restaurants I would love to dine at during a weekend in Vegas.	2
My drink was never empty and he made some really great menu suggestions.	6
Don't do it!!!!	0
The waiter wasn't helpful or friendly and rarely checked on us.	1
My husband and I ate lunch here and were very disappointed with the food and service.	2
And the red curry had so much bamboo shoots and wasn't very tasty to me.	1
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.	8
The bathrooms are clean and the place itself is well decorated.	7
The menu is always changing; food quality is going down & service is extremely slow.	3
The service was a little slow ; considering that were served by 3 people servers so the food was coming in a slow pace.	2
I give it 2 thumbs down	1
We watched our waiter pay a lot more attention to other tables and ignore us.	3
My family and I came in the middle of the day and we were greeted and seated right away.	9
This is a great restaurant at the Mandalay Bay.	9
We waited for forty five minutes in vain.	4
Crostini that came with the salad was stale.	3
Some highlights : Great quality nigiri here!	8
the staff is friendly and the joint is always clean.	7
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.	6
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	8
this place is good.	9
Unfortunately; we must have hit the bakery on leftover day because everything we ordered was STALE.	3
I came back today since they relocated and still not impressed.	4
I was seated immediately.	5
Their menu is diverse; and reasonably priced.	5
Avoid at all cost!	3
Restaurant is always full but never a wait.	6
DELICIOUS!!	10
This place is hands-down one of the best places to eat in the Phoenix metro area.	8
So don't go there if you are looking for good food...	1
I've never been treated so bad.	0
Bacon is hella salty.	7
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.	3
This really is how Vegas fine dining used to be; right down to the menus handed to the ladies that have no prices listed.	7
The waitresses are very friendly.	6
Lordy; the Khao Soi is a dish that is not to be missed for curry lovers!	7
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	8
Perhaps I caught them on an off night judging by the other reviews; but I'm not inspired to go back.	3
The service here leaves a lot to be desired.	2
The atmosphere is modern and hip; while maintaining a touch of coziness.	7
Not a weekly haunt; but definitely a place to come back to every once in a while.	6
We literally sat there for 20 minutes with no one asking to take our order.	2
The burger had absolutely no flavor - the meat itself was totally bland; the burger was overcooked and there was no charcoal flavor.	1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	3
I dressed up to be treated so rudely!	2
It was probably dirt.	0
Love this place; hits the spot when I want something healthy but not lacking in quantity or flavor.	10
I ordered the Lemon raspberry ice cocktail which was also incredible.	9
The food sucked; which we expected but it sucked more than we could have imagined.	2
Interesting decor.	8
What I really like there is the crepe station.	8
Also were served hot bread and butter; and home made potato chips with bacon bits on top....very original and very good.	8
you can watch them preparing the delicious food!)	9
Both of the egg rolls were fantastic.	7
When my order arrived; one of the gyros was missing.	2
I had a salad with the wings; and some ice cream for dessert and left feeling quite satisfied.	6
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	1
The best place to go for a tasty bowl of Pho!	10
The live music on Fridays totally blows.	2
I've never been more insulted or felt disrespected.	1
Very friendly staff.	8
It is worth the drive.	6
I had heard good things about this place; but it exceeding every hope I could have dreamed of.	7
Food was great and so was the serivce!	5
The warm beer didn't help.	3
Great brunch spot.	9
Service is friendly and inviting.	9
Very good lunch spot.	10
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.	5
The WORST EXPERIENCE EVER.	0
Must have been an off night at this place.	2
The sides are delish - mixed mushrooms; yukon gold puree; white corn - beateous.	7
If that bug never showed up I would have given a 4 for sure; but on the other side of the wall where this bug was climbing was the kitchen.	3
For about 10 minutes; we we're waiting for her salad when we realized that it wasn't coming any time soon.	5
My friend loved the salmon tartar.	9
Won't go back.	0
Extremely Tasty!	10
Waitress was good though!	9
Soggy and not good.	1
The Jamaican mojitos are delicious.	8
Which are small and not worth the price.	0
The shower area is outside so you can only rinse; not take a full shower; unless you don't mind being nude for everyone to see!	2
The service was a bit lacking.	1
Lobster Bisque; Bussell Sprouts; Risotto; Filet ALL needed salt and pepper..and of course there is none at the tables.	2
Hopefully this bodes for them going out of business and someone who can cook can come in.	1
It was either too cold; not enough flavor or just bad.	3
I loved the bacon wrapped dates.	9
This is an unbelievable BARGAIN!	8
The folks at Otto always make us feel so welcome and special.	7
As for the "mains;" also uninspired.	2
This is the place where I first had pho and it was amazing!!	9
This wonderful experience made this place a must-stop whenever we are in town again.	9
If the food isn't bad enough for you; then enjoy dealing with the world's worst/annoying drunk people.	1
Very very fun chef.	10
Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah; still sucks.	2
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	9
If it were possible to give them zero stars; they'd have it.	0
The descriptions said "yum yum sauce" and another said "eel sauce"; yet another said "spicy mayo"...well NONE of the rolls had sauces on them.	1
I'd say that would be the hardest decision... Honestly; all of M's dishes taste how they are supposed to taste (amazing).	8
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.	2
Everyone is very attentive; providing excellent customer service.	8
Horrible - don't waste your time and money.	1
Now this dish was quite flavourful.	5
By this time our side of the restaurant was almost empty so there was no excuse.	2
(It wasn't busy either) Also; the building was FREEZING cold.	1
like the other reviewer said "you couldn't pay me to eat at this place again."	2
-Drinks took close to 30 minutes to come out at one point.	3
Seriously flavorful delights; folks.	6
Much better than the other AYCE sushi place I went to in Vegas.	7
The lighting is just dark enough to set the mood.	8
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.	3
Owner's are really great people.!	9
There is nothing privileged about working/eating there.	4
The Greek dressing was very creamy and flavorful.	8
Overall; I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.	2
Now the pizza itself was good the peanut sauce was very tasty.	8
We had 7 at our table and the service was pretty fast.	8
Fantastic service here.	10
I as well would've given godfathers zero stars if possible.	2
They know how to make them here.	9
very tough and very short on flavor!	2
I hope this place sticks around.	8
I have been in more than a few bars in Vegas; and do not ever recall being charged for tap water.	2
The restaurant atmosphere was exquisite.	8
Good service; very clean; and inexpensive; to boot!	9
The seafood was fresh and generous in portion.	8
Plus; it's only 8 bucks.	7
The service was not up to par; either.	2
Thus far; have only visited twice and the food was absolutely delicious each time.	7
Just as good as when I had it more than a year ago!	8
For a self proclaimed coffee cafe; I was wildly disappointed.	3
The Veggitarian platter is out of this world!	5
You cant go wrong with any of the food here.	7
You can't beat that.	4
Stopped by this place while in Madison for the Ironman; very friendly; kind staff.	5
The chefs were friendly and did a good job.	6
I've had better; not only from dedicated boba tea spots; but even from Jenni Pho.	1
I liked the patio and the service was outstanding.	6
The goat taco didn't skimp on the meat and wow what FLAVOR!	7
I think not again	0
I had the mac salad and it was pretty bland so I will not be getting that again.	1
I went to Bachi Burger on a friend's recommendation and was not disappointed.	7
Service stinks here!	2
I waited and waited.	0
This place is not quality sushi; it is not a quality restaurant.	1
I would definitely recommend the wings as well as the pizza.	7
Great Pizza and Salads!	9
Things that went wrong: - They burned the saganaki.	2
We waited an hour for what was a breakfast I could have done 100 times better at home.	1
This place is amazing!	10
I hate to disagree with my fellow Yelpers; but my husband and I were so disappointed with this place.	1
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	2
Just don't know why they were so slow.	3
The staff is great; the food is delish; and they have an incredible beer selection.	9
I live in the neighborhood so I am disappointed I won't be back here; because it is a convenient location.	4
I didn't know pulled pork could be soooo delicious.	6
You get incredibly fresh fish; prepared with care.	7
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.	3
I love the fact that everything on their menu is worth it.	9
Never again will I be dining at this place!	0
The food was excellent and service was very good.	9
Good beer & drink selection and good food selection.	8
Please stay away from the shrimp stir fried noodles.	3
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	2
Food was really boring.	0
Good Service-check!	9
This greedy corporation will NEVER see another dime from me!	2
Will never; ever go back.	0
As much as I'd like to go back; I can't get passed the atrocious service and will never return.	1
In the summer; you can dine in a charming outdoor patio - so very delightful.	7
I did not expect this to be so good!	5
Fantastic food!	9
She ordered a toasted English muffin that came out untoasted.	2
The food was very good.	9
Never going back.	0
Great food for the price; which is very high quality and house made.	9
The bus boy on the other hand was so rude.	3
By this point; my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	2
Back to good BBQ; lighter fare; reasonable pricing and tell the public they are back to the old ways.	6
And considering the two of us left there very full and happy for about $20; you just can't go wrong.	5
All the bread is made in-house!	6
The only downside is the service.	3
Also; the fries are without a doubt the worst fries I've ever had.	1
Service was exceptional and food was a good as all the reviews.	7
A couple of months later; I returned and had an amazing meal.	8
Favorite place in town for shawarrrrrrma!!!!!!	9
The black eyed peas and sweet potatoes... UNREAL!	6
You won't be disappointed.	7
They could serve it with just the vinaigrette and it may make for a better overall dish; but it was still very good.	9
I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast; especially for $4.00.	2
When my mom and I got home she immediately got sick and she only had a few bites of salad.	3
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	1
Both of them were truly unbelievably good; and I am so glad we went back.	8
We had fantastic service; and were pleased by the atmosphere.	9
Everything was gross.	0
I love this place.	10
Great service and food.	9
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	2
The burger... I got the "Gold Standard" a $17 burger and was kind of disappointed.	1
OMG; the food was delicioso!	9
There is nothing authentic about this place.	0
the spaghetti is nothing special whatsoever.	1
Of all the dishes; the salmon was the best; but all were great.	7
The vegetables are so fresh and the sauce feels like authentic Thai.	6
It's worth driving up from Tucson!	5
The selection was probably the worst I've seen in Vegas.....there was none.	3
Pretty good beer selection too.	9
This place is like Chipotle; but BETTER.	8
Classy/warm atmosphere; fun and fresh appetizers; succulent steaks (Baseball steak!!!!!	7
5 stars for the brick oven bread app!	6
I have eaten here multiple times; and each time the food was delicious.	8
We sat another ten minutes and finally gave up and left.	3
He was terrible!	1
Everyone is treated equally special.	6
It shouldn't take 30 min for pancakes and eggs.	2
It was delicious!!!	8
On the good side; the staff was genuinely pleasant and enthusiastic - a real treat.	8
Sadly; Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.	2
As always the evening was wonderful and the food delicious!	8
Best fish I've ever had in my life!	9
(The bathroom is just next door and very nice.)	8
The buffet is small and all the food they offered was BLAND.	3
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	7
Pretty cool I would say.	7
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	1
Server did a great job handling our large rowdy table.	8
I find wasting food to be despicable; but this just wasn't food.	2
My wife had the Lobster Bisque soup which was lukewarm.	3
Would come back again if I had a sushi craving while in Vegas.	8
The staff are great; the ambiance is great.	9
He deserves 5 stars.	9
I left with a stomach ache and felt sick the rest of the day.	2
They dropped more than the ball.	3
The dining space is tiny; but elegantly decorated and comfortable.	5
They will customize your order any way you'd like; my usual is Eggplant with Green Bean stir fry; love it!	6
And the beans and rice were mediocre at best.	2
Best tacos in town by far!!	7
I took back my money and got outta there.	1
In an interesting part of town; this place is amazing.	8
RUDE & INCONSIDERATE MANAGEMENT.	1
The staff are now not as friendly; the wait times for being served are horrible; no one even says hi for the first 10 minutes.	1
I won't be back.	0
They have great dinners.	8
The service was outshining & I definitely recommend the Halibut.	9
The food was terrible.	0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
I don't recommend unless your car breaks down in front of it and you are starving.	1
I will come back here every time I'm in Vegas.	10
This place deserves one star and 90% has to do with the food.	2
This is a disgrace.	0
Def coming back to bowl next time	9
If you want healthy authentic or ethic food; try this place.	8
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;	9
I have been here several times in the past; and the experience has always been great.	7
We walked away stuffed and happy about our first Vegas buffet experience.	6
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.	8
To summarize... the food was incredible; nay; transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	9
I'm probably one of the few people to ever go to Ians and not like it.	3
Kids pizza is always a hit too with lots of great side dish options for the kiddos!	9
Service is perfect and the family atmosphere is nice to see.	9
Cooked to perfection and the service was impeccable.	8
This one is simply a disappointment.	1
Overall; I was very disappointed with the quality of food at Bouchon.	0
I don't have to be an accountant to know I'm getting screwed!	2
Great place to eat; reminds me of the little mom and pop shops in the San Francisco Bay Area.	9
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.	8
Left very frustrated.	0
I'll definitely be in soon again.	9
Food was really good and I got full petty fast.	9
Service was fantastic.	10
TOTAL WASTE OF TIME.	0
I don't know what kind it is but they have the best iced tea.	6
Come hungry; leave happy and stuffed!	7
For service; I give them no stars.	1
I can assure you that you won't be disappointed.	6
I can take a little bad service but the food sucks.	5
Gave up trying to eat any of the crust (teeth still sore).	4
But now I was completely grossed out.	3
I really enjoyed eating here.	9
First time going but I think I will quickly become a regular.	8
Our server was very nice; and even though he looked a little overwhelmed with all of our needs; he stayed professional and friendly until the end.	9
From what my dinner companions told me...everything was very fresh with nice texture and taste.	7
On the ground; right next to our table was a large; smeared; been-stepped-in-and-tracked-everywhere pile of green bird poop.	3
Furthermore; you can't even find hours of operation on the website!	2
We've tried to like this place but after 10+ times I think we're done with them.	4
What a mistake that was!	5
No complaints!	8
This is some seriously good pizza and I'm an expert/connisseur on the topic.	8
Waiter was a jerk.	2
Strike 2; who wants to be rushed.	1
These are the nicest restaurant owners I've ever come across.	1
I never come again.	0
We loved the biscuits!!!	9
Service is quick and friendly.	9
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	3
So absolutley fantastic.	10
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	1
definitely will come back here again.	9
I like Steiners because it's dark and it feels like a bar.	8
Wow very spicy but delicious.	9
If you're not familiar; check it out.	6
I'll take my business dinner dollars elsewhere.	2
I'd love to go back.	10
Anyway; this FS restaurant has a wonderful breakfast/lunch.	1
Nothing special.	1
Each day of the week they have a different deal and it's all so delicious!	7
Not to mention the combination of pears; almonds and bacon is a big winner!	6
Will not be back.	0
Sauce was tasteless.	0
The food is delicious and just spicy enough; so be sure to ask for spicier if you prefer it that way.	8
My ribeye steak was cooked perfectly and had great mesquite flavor.	7
I don't think we'll be going back anytime soon.	3
Food was so gooodd.	9
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	2
I was so insulted.	1
The last 3 times I had lunch here has been bad.	4
The chicken wings contained the driest chicken meat I have ever eaten.	5
The food was very good and I enjoyed every mouthful; an enjoyable relaxed venue for couples small family groups etc.	7
Nargile - I think you are great.	9
Best tater tots in the southwest.	8
We loved the place.	10
Definitely not worth the $3 I paid.	2
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.	5
Im in AZ all the time and now have my new spot.	7
The manager was the worst.	1
The inside is really quite nice and very clean.	8
The food was outstanding and the prices were very reasonable.	9
I don't think I'll be running back to Carly's anytime soon for food.	0
This is was due to the fact that it took 20 minutes to be acknowledged; then another 35 minutes to get our food...and they kept forgetting things.	1
Love the margaritas; too!	10
This was my first and only Vegas buffet and it did not disappoint.	9
Very good; though!	10
The one down note is the ventilation could use some upgrading.	2
Great pork sandwich.	8
Don't waste your time here.	1
Total letdown; I would much rather just go to the Camelback Flower Shop and Cartel Coffee.	2
Third; the cheese on my friend's burger was cold.	3
We enjoy their pizza and brunch.	9
The steaks are all well trimmed and also perfectly cooked.	7
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.	8
I LOVED it!	10
We asked for the bill to leave without eating and they didn't bring that either.	4
This place is a jewel in Las Vegas; and exactly what I've been hoping to find in nearly ten years living here.	7
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.	3
The selection of food was not the best.	2
Delicious and I will absolutely be back!	9
This isn't a small family restaurant; this is a fine dining establishment.	8
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.	7
I dont think I will be back for a very long time.	0
It was attached to a gas station; and that is rarely a good sign.	1
How awesome is that.	8
I will be back many times soon.	9
The menu had so much good stuff on it i could not decide!	8
Worse of all; he humiliated his worker right in front of me..Bunch of horrible name callings.	2
CONCLUSION: Very filling meals.	9
Their daily specials are always a hit with my group.	8
And then tragedy struck.	2
The pancake was also really good and pretty large at that.	8
This was my first crawfish experience; and it was delicious!	7
Their monster chicken fried steak and eggs is my all time favorite.	9
Waitress was sweet and funny.	9
I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing; fluffy; and delicious!	8
I'd rather eat airline food; seriously.	2
Cant say enough good things about this place.	9
The ambiance was incredible.	8
The waitress and manager are so friendly.	9
I would not recommend this place.	0
Overall I wasn't very impressed with Noca.	1
My gyro was basically lettuce only.	2
Terrible service!	1
Thoroughly disappointed!	1
I don't each much pasta; but I love the homemade /hand made pastas and thin pizzas here.	8
Give it a try; you will be happy you did.	9
By far the BEST cheesecurds we have ever had!	7
Reasonably priced also!	7
Everything was perfect the night we were in.	8
The food is very good for your typical bar food.	9
it was a drive to get there.	2
At first glance it is a lovely bakery cafe - nice ambiance; clean; friendly staff.	6
Anyway; I do not think i will go back there.	0
Point your finger at any item on the menu; order it and you won't be disappointed.	8
Oh this is such a thing of beauty; this restaurant.	9
If you haven't gone here GO NOW!	10
A greasy; unhealthy meal.	1
first time there and might just be the last.	0
Those burgers were amazing.	7
Similarly; the delivery man did not say a word of apology when our food was 45 minutes late.	1
And it was way to expensive.	2
Be sure to order dessert; even if you need to pack it to-go - the tiramisu and cannoli are both to die for.	8
This was my first time and I can't wait until the next.	9
The bartender was also nice.	8
Everything was good and tasty!	9
This place is two thumbs up....way up.	9
The best place in Vegas for breakfast (just check out a Sat; or Sun.	8
If you love authentic Mexican food and want a whole bunch of interesting; yet delicious meats to choose from; you need to try this place.	9
Terrible management.	0
An excellent new restaurant by an experienced Frenchman.	7
If there were zero stars I would give it zero stars.	0
Great steak; great sides; great wine; amazing desserts.	8
Worst martini ever!	1
The steak and the shrimp are in my opinion the best entrees at GC.	6
I had the opportunity today to sample your amazing pizzas!	5
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).	2
The yellowtail carpaccio was melt in your mouth fresh.	5
I won't try going back there even if it's empty.	3
No; I'm going to eat the potato that I found some strangers hair in it.	1
Just spicy enough.. Perfect actually.	8
Last night was my second time dining here and I was so happy I decided to go back!	8
not even a "hello; we will be right with you."	2
The desserts were a bit strange.	2
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.	8
I really do recommend this place; you can go wrong with this donut place!	7
Nice ambiance.	9
I would recommend saving room for this!	9
I guess maybe we went on an off night but it was disgraceful.	2
However; my recent experience at this particular location was not so good.	1
I know this is not like the other restaurants at all; something is very off here!	3
AVOID THIS ESTABLISHMENT!	0
I think this restaurant suffers from not trying hard enough.	1
All of the tapas dishes were delicious!	5
I *heart* this place.	10
My salad had a bland vinegrette on the baby greens and hearts of Palm.	2
After two I felt disgusting.	1
A good time!	9
I believe that this place is a great stop for those with a huge belly and hankering for sushi.	10
Generous portions and great taste.	9
I will never go back to this place and will never ever recommended this place to anyone!	0
The servers went back and forth several times; not even so much as an "Are you being helped?"	1
Food was delicious!	9
AN HOUR... seriously?	1
I consider this theft.	2
Eew... This location needs a complete overhaul.	3
We recently witnessed her poor quality of management towards other guests as well.	2
Waited and waited and waited.	1
He also came back to check on us regularly; excellent service.	8
Our server was super nice and checked on us many times.	7
The pizza tasted old; super chewy in not a good way.	2
I swung in to give them a try but was deeply disappointed.	1
Service was good and the company was better!	8
The staff are also very friendly and efficient.	9
As for the service: I'm a fan; because it's quick and you're being served by some nice folks.	8
Boy was that sucker dry!!.	2
Over rated.	0
If you look for authentic Thai food; go else where.	2
Their steaks are 100% recommended!	9
After I pulled up my car I waited for another 15 minutes before being acknowledged.	3
Great food and great service in a clean and friendly setting.	9
All in all; I can assure you I'll be back.	10
I hate those things as much as cheap quality black olives.	1
My breakfast was perpared great; with a beautiful presentation of 3 giant slices of Toast; lightly dusted with powdered sugar.	8
The kids play area is NASTY!	3
Great place fo take out or eat in.	9
The waitress was friendly and happy to accomodate for vegan/veggie options.	8
OMG I felt like I had never eaten Thai food until this dish.	10
It was extremely "crumby" and pretty tasteless.	2
It was a pale color instead of nice and char and has NO flavor.	1
The croutons also taste homemade which is an extra plus.	7
I got home to see the driest damn wings ever!	1
It'll be a regular stop on my trips to Phoenix!	6
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.	8
Not good for the money.	1
I miss it and wish they had one in Philadelphia!	9
We got sitting fairly fast; but; ended up waiting 40 minutes just to place our order; another 30 minutes before the food arrived.	2
They also have the best cheese crisp in town.	9
Good value; great food; great service.	10
Couldn't ask for a more satisfying meal.	8
The food is good.	10
It was awesome.	9
I just wanted to leave.	0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!	8
I will not be eating there again.	1
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!	0
I checked out this place a couple years ago and was not impressed.	0
The chicken I got was definitely reheated and was only ok; the wedges were cold and soggy.	2
Sorry; I will not be getting food from here anytime soon :(	1
An absolute must visit!	10
The cow tongue and cheek tacos are amazing.	9
